Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688349,三一重能,6/22/2022,三一重能股份有限公司,"Sany Heavy Energy Co., Ltd.",C38,电气机械及器材制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688350,富淼科技,1/28/2021,江苏富淼科技股份有限公司,"Jiangsu Feymer Technology Co., Ltd.",C26,化学原料及化学制品制造业,江苏省,320000,张家港市,320582,私营企业,P0306,32
688351,微电生理,8/31/2022,上海微创电生理医疗科技股份有限公司,"Shanghai MicroPort EP MedTech Co., Ltd.",C35,专用设备制造业,上海市,310000,上海市,310000,私营企业,P0306,32
688352,颀中科技,4/20/2023,合肥颀中科技股份有限公司,"Hefei Chipmore Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,安徽省,340000,合肥市,340100,中外合资,P0303,32
688353,华盛锂电,7/13/2022,江苏华盛锂电材料股份有限公司,"Jiangsu HSC Lithium Battery Materials Co., Ltd.",C26,化学原料及化学制品制造业,江苏省,320000,扬州市,321000,私营企业,P0306,32
688355,明志科技,5/12/2021,苏州明志科技股份有限公司,"Suzhou Mingzhi Technology Co.,Ltd.",C33,金属制品业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688356,键凯科技,8/26/2020,北京键凯科技股份有限公司,"Jenkem Technology Co., Ltd.",C26,化学原料及化学制品制造业,北京市,110000,北京市,110000,中外合资,P0303,32
688357,建龙微纳,12/4/2019,洛阳建龙微纳新材料股份有限公司,"Luoyang Jalon Micro-Nano New Materials Co., Ltd.",C26,化学原料及化学制品制造业,河南省,410000,偃师市,410381,私营企业,P0306,32
688358,祥生医疗,12/3/2019,无锡祥生医疗科技股份有限公司,"Chison Medical Technologies Co., Ltd.",C35,专用设备制造业,江苏省,320000,无锡市,320200,私营企业,P0306,32
688359,三孚新科,5/21/2021,广州三孚新材料科技股份有限公司,"Guangzhou Sanfu New Materials Technology Co., Ltd.",C26,化学原料及化学制品制造业,广东省,440000,广州市,440100,私营企业,P0306,32
